Scenario_Model,AUC_mean,AUC_std,Sensitivity,Specificity,F1,BalancedAcc,Class0_F1,Class1_F1
ClinicalOnly__LogisticRegression,0.8081349206349208,0.10323868583755003,0.7804878048780488,0.8125,0.8421052631578947,0.7964939024390244,0.6842105263157896,0.8421052631578947
Clin+Rad_BCEDice_Top10__XGBoost,0.7876984126984127,0.19106225974803395,0.8780487804878049,0.625,0.8674698795180722,0.7515243902439024,0.6451612903225806,0.8674698795180722
Clin+Rad_GDice_Top10__XGBoost,0.787665343915344,0.17358787952400215,0.8048780487804879,0.6875,0.8354430379746836,0.7461890243902439,0.6285714285714286,0.8354430379746836
Clin+Rad_Tversky_Top10__XGBoost,0.7871693121693122,0.1585318426030481,0.8048780487804879,0.75,0.8461538461538461,0.7774390243902439,0.6666666666666665,0.8461538461538461
ClinicalOnly__SVM_Linear,0.7859126984126985,0.12826487066658254,0.8780487804878049,0.6875,0.8780487804878049,0.7827743902439024,0.6875,0.8780487804878049
Clin+Rad_Dice_Top10__SVM_Linear,0.7833994708994709,0.0982542496142399,0.8292682926829268,0.6875,0.8500000000000001,0.7583841463414633,0.6470588235294118,0.8500000000000001
Clin+Rad_AdaptiveRegional_Top20__SVM_Linear,0.7825396825396825,0.1441170194443557,0.7317073170731707,0.75,0.8,0.7408536585365854,0.6153846153846153,0.8
Clin+Rad_BCEFocalTversky_Top20__SVM_Linear,0.779431216931217,0.17318573486241054,0.7804878048780488,0.6875,0.8205128205128206,0.7339939024390244,0.6111111111111112,0.8205128205128206
Clin+Rad_Dice_Top20__SVM_Linear,0.7786706349206349,0.1720537862239406,0.8292682926829268,0.625,0.8395061728395061,0.7271341463414633,0.6060606060606061,0.8395061728395061
ClinicalOnly__SVM_RBF,0.7774801587301587,0.14154336926973218,0.9512195121951219,0.625,0.9069767441860465,0.788109756097561,0.7142857142857143,0.9069767441860465
Clin+Rad_Tversky_Top10__LogisticRegression,0.771626984126984,0.13560517288279395,0.8536585365853658,0.625,0.8536585365853658,0.7393292682926829,0.625,0.8536585365853658
ClinicalOnly__kNN_k5,0.7692460317460318,0.21476614280359507,0.7317073170731707,0.8125,0.8108108108108109,0.7721036585365854,0.65,0.8108108108108109
Clin+Rad_BCEFocalTversky_Top10__SVM_Linear,0.7691468253968254,0.11559800344340201,0.8780487804878049,0.5625,0.8571428571428572,0.7202743902439024,0.6000000000000001,0.8571428571428572
Clin+Rad_AdaptiveRegional_Top10__XGBoost,0.768915343915344,0.15731601099209475,0.8048780487804879,0.6875,0.8354430379746836,0.7461890243902439,0.6285714285714286,0.8354430379746836
Clin+Rad_FocalTversky_Top10__XGBoost,0.7686507936507937,0.14188158967085315,0.8292682926829268,0.6875,0.8500000000000001,0.7583841463414633,0.6470588235294118,0.8500000000000001
Clin+Rad_BCEDice_Top20__XGBoost,0.7654761904761905,0.17752071834627323,0.8536585365853658,0.625,0.8536585365853658,0.7393292682926829,0.625,0.8536585365853658
Clin+Rad_FocalTversky_Top10__LogisticRegression,0.7637896825396826,0.13072235087540515,0.7073170731707317,0.6875,0.7733333333333334,0.6974085365853658,0.5641025641025642,0.7733333333333334
ClinicalOnly__XGBoost,0.7612433862433863,0.1478537797313481,0.8536585365853658,0.6875,0.8641975308641976,0.7705792682926829,0.6666666666666667,0.8641975308641976
Clin+Rad_Tversky_Top10__SVM_Linear,0.7609126984126985,0.13661690464366674,0.9024390243902439,0.625,0.8809523809523809,0.7637195121951219,0.6666666666666666,0.8809523809523809
ClinicalOnly__MLP,0.7601190476190476,0.19660525963949652,0.9512195121951219,0.625,0.9069767441860465,0.788109756097561,0.7142857142857143,0.9069767441860465
Clin+Rad_AdaptiveRegional_Top10__LogisticRegression,0.7575396825396826,0.1304849763388053,0.8536585365853658,0.5,0.8333333333333333,0.6768292682926829,0.5333333333333333,0.8333333333333333
Clin+Rad_GDice_Top20__XGBoost,0.756712962962963,0.21112380160037567,0.7804878048780488,0.6875,0.8205128205128206,0.7339939024390244,0.6111111111111112,0.8205128205128206
Clin+Rad_FocalTversky_Top20__XGBoost,0.7552579365079366,0.1462166972761944,0.8292682926829268,0.6875,0.8500000000000001,0.7583841463414633,0.6470588235294118,0.8500000000000001
Clin+Rad_Dice_Top10__LogisticRegression,0.754265873015873,0.13510127380011527,0.7317073170731707,0.6875,0.7894736842105263,0.7096036585365854,0.5789473684210527,0.7894736842105263
ClinicalOnly__RandomForest,0.7529761904761905,0.1714657697736829,0.926829268292683,0.5625,0.8837209302325582,0.7446646341463414,0.6428571428571429,0.8837209302325582
Clin+Rad_Tversky_Top50__XGBoost,0.7515211640211639,0.15224195416779682,0.7560975609756098,0.75,0.8157894736842105,0.7530487804878049,0.631578947368421,0.8157894736842105
Clin+Rad_Dice_Top10__GradientBoosting,0.7478505291005291,0.15136467407312462,0.9024390243902439,0.4375,0.8505747126436782,0.6699695121951219,0.5185185185185185,0.8505747126436782
