epoch,train_loss,val_loss,lr
1,2.535771,2.460128,0.000030
2,2.102563,2.144669,0.000060
3,2.064149,2.324071,0.000090
4,2.041500,2.010299,0.000120
5,2.031207,2.491875,0.000150
6,2.043087,2.243533,0.000180
7,1.947767,1.826447,0.000210
8,1.878916,2.135975,0.000240
9,1.896116,1.812524,0.000270
10,2.413422,2.503014,0.000300
11,2.220705,1.944229,0.000300
12,2.013799,2.252249,0.000300
13,2.032837,2.218510,0.000300
14,1.887717,2.016019,0.000300
15,1.968361,1.972015,0.000299
16,1.982056,1.897434,0.000299
17,1.977287,1.890350,0.000299
18,1.857068,1.861921,0.000299
19,1.897807,1.995259,0.000298
20,1.837917,1.957979,0.000298
21,1.836619,1.805172,0.000298
22,1.791983,2.000086,0.000297
23,1.811994,1.882128,0.000297
24,1.802532,1.763786,0.000296
25,1.784009,1.793586,0.000295
26,1.801026,1.729289,0.000295
27,1.744390,1.803396,0.000294
28,1.754424,1.868466,0.000293
29,1.750564,1.798831,0.000293
30,1.873106,1.710310,0.000292
31,1.793456,1.896758,0.000291
32,1.693217,1.802761,0.000290
33,1.690975,1.669178,0.000289
34,1.672803,1.791319,0.000288
35,1.625738,1.757960,0.000287
36,1.755785,1.727547,0.000286
37,1.760465,1.705163,0.000285
38,1.668021,1.733541,0.000284
39,1.684921,1.698070,0.000283
40,1.672644,1.741676,0.000282
41,1.668242,1.690030,0.000281
42,1.637512,1.622648,0.000280
43,1.686235,1.725780,0.000278
44,1.655624,1.864003,0.000277
45,1.693863,1.659540,0.000276
46,1.613918,1.640795,0.000274
47,1.619850,1.686891,0.000273
48,1.610820,1.760898,0.000272
49,1.667853,1.603466,0.000270
50,1.656598,1.730544,0.000269
51,1.613849,1.741543,0.000267
52,1.614816,1.821519,0.000266
53,1.633707,1.662822,0.000264
54,1.655926,1.722933,0.000262
55,1.598523,1.557634,0.000261
56,1.584179,1.549863,0.000259
57,1.670037,1.709119,0.000257
58,1.621636,1.593068,0.000256
59,1.623588,1.690600,0.000254
60,1.611337,1.657261,0.000252
61,1.563649,1.639883,0.000250
62,1.630554,1.658147,0.000248
63,1.507434,1.644912,0.000247
64,1.568601,1.550578,0.000245
65,1.488866,1.792229,0.000243
66,1.616662,1.581789,0.000241
67,1.545302,1.537930,0.000239
68,1.526350,1.623910,0.000237
69,1.456594,1.565465,0.000235
70,1.500555,1.605641,0.000233
71,1.512198,1.595652,0.000231
72,1.440364,1.572498,0.000229
73,1.519603,1.552459,0.000226
74,1.501198,1.477632,0.000224
75,1.413614,1.540489,0.000222
76,1.435199,1.490122,0.000220
77,1.463776,1.524916,0.000218
78,1.429300,1.413381,0.000216
79,1.496566,1.483719,0.000213
80,1.372692,1.438471,0.000211
81,1.355824,1.428013,0.000209
82,1.402210,1.489584,0.000207
83,1.385781,1.435572,0.000204
84,1.384886,1.545857,0.000202
85,1.414548,1.431659,0.000200
86,1.372265,1.528456,0.000197
87,1.385517,1.428119,0.000195
88,1.398525,1.521393,0.000193
89,1.434628,1.608188,0.000190
90,1.410407,1.389964,0.000188
91,1.378279,1.430846,0.000186
92,1.342652,1.475272,0.000183
93,1.337186,1.511210,0.000181
94,1.351252,1.435602,0.000178
95,1.348908,1.449999,0.000176
96,1.381372,1.512562,0.000174
97,1.403309,1.436762,0.000171
98,1.374922,1.339444,0.000169
99,1.344372,1.416250,0.000166
100,1.388722,1.579471,0.000164
101,1.385371,1.464730,0.000161
102,1.358007,1.520041,0.000159
103,1.379487,1.437905,0.000156
104,1.335529,1.476226,0.000154
105,1.411249,1.420613,0.000152
106,1.359458,1.394411,0.000149
107,1.322511,1.403436,0.000147
108,1.304772,1.383193,0.000144
109,1.298299,1.448165,0.000142
110,1.350372,1.413182,0.000139
111,1.360514,1.435613,0.000137
112,1.352683,1.403132,0.000134
113,1.294941,1.431732,0.000132
114,1.333271,1.414478,0.000129
115,1.320079,1.364011,0.000127
116,1.368559,1.413410,0.000125
117,1.335856,1.619158,0.000122
118,1.313837,1.330493,0.000120
119,1.290550,1.377038,0.000117
120,1.311709,1.405262,0.000115
121,1.296264,1.462144,0.000113
122,1.317855,1.454703,0.000110
123,1.321821,1.411268,0.000108
124,1.341815,1.449200,0.000106
125,1.341991,1.386132,0.000103
126,1.296836,1.342874,0.000101
127,1.274439,1.377563,0.000099
128,1.299939,1.412998,0.000096
129,1.283327,1.409896,0.000094
130,1.310665,1.611594,0.000092
131,1.348819,1.367516,0.000090
132,1.257587,1.390069,0.000087
133,1.334915,1.391626,0.000085
134,1.257897,1.361058,0.000083
135,1.258618,1.504843,0.000081
136,1.250362,1.285132,0.000079
137,1.262071,1.387753,0.000077
138,1.282603,1.428799,0.000074
139,1.315028,1.482515,0.000072
140,1.268251,1.435853,0.000070
141,1.293336,1.368914,0.000068
142,1.295614,1.358673,0.000066
143,1.318821,1.329202,0.000064
144,1.269163,1.465229,0.000062
145,1.233861,1.363452,0.000060
146,1.281524,1.360191,0.000058
147,1.221988,1.481704,0.000056
148,1.256554,1.346147,0.000055
149,1.243120,1.319292,0.000053
150,1.300756,1.432969,0.000051
151,1.250320,1.348075,0.000049
152,1.210356,1.384680,0.000047
153,1.242515,1.460170,0.000046
154,1.239805,1.323618,0.000044
155,1.259346,1.409764,0.000042
156,1.214706,1.322607,0.000041
157,1.239422,1.422261,0.000039
158,1.282696,1.370416,0.000037
159,1.204596,1.396632,0.000036
160,1.234265,1.400988,0.000034
161,1.224415,1.311256,0.000033
162,1.226487,1.294971,0.000031
163,1.243922,1.329070,0.000030
164,1.255199,1.374375,0.000029
165,1.197542,1.378333,0.000027
166,1.228157,1.361996,0.000026
167,1.212271,1.377185,0.000025
168,1.249837,1.329116,0.000023
169,1.216514,1.318739,0.000022
170,1.222392,1.371478,0.000021
171,1.216928,1.320176,0.000020
172,1.238122,1.366402,0.000019
173,1.223703,1.339800,0.000018
174,1.189610,1.286720,0.000017
175,1.207960,1.381916,0.000016
176,1.260602,1.403815,0.000015
177,1.196016,1.330445,0.000014
178,1.219532,1.275316,0.000013
179,1.241818,1.288493,0.000012
180,1.207936,1.297502,0.000011
181,1.194129,1.297577,0.000010
182,1.190017,1.292194,0.000010
183,1.184654,1.308359,0.000009
184,1.187908,1.397283,0.000008
185,1.185907,1.286999,0.000008
186,1.204946,1.277404,0.000007
187,1.245098,1.285977,0.000006
188,1.234472,1.293002,0.000006
189,1.215641,1.261231,0.000005
190,1.212882,1.349002,0.000005
191,1.193886,1.376822,0.000005
192,1.159367,1.313936,0.000004
193,1.190966,1.252038,0.000004
194,1.202959,1.335055,0.000004
195,1.211579,1.310518,0.000004
196,1.185365,1.347428,0.000003
197,1.171964,1.301246,0.000003
198,1.208099,1.306145,0.000003
199,1.215643,1.293778,0.000003
200,1.195682,1.328761,0.000003
